Year,Rank,Rider,Time,Team
1969,84,Roger Cooreman (BEL),"+ 3h 34' 37""",Dr. Mann–Grundig
1969,85,Pierre Matignon (FRA),"+ 3h 45' 23""",Frimatic–de Gribaldy–Viva–Wolber
1969,86,André Wilhelm (FRA),"+ 3h 51' 53""",Sonolor–Lejeune
1970,1,Eddy Merckx (BEL),"119h 31' 49""",Faemino–Faema
1970,2,Joop Zoetemelk (NED),"+ 12' 41""",Flandria–Mars
1970,3,Gösta Pettersson (SWE),"+ 15' 54""",Ferretti
1970,4,Martin Vandenbossche (BEL),"+ 18' 53""",Molteni
1970,5,Rini Wagtmans (NED),"+ 19' 54""",Willem II–Gazelle
1970,6,Lucien Van Impe (BEL),"+ 20' 34""",Sonolor–Lejeune
1970,7,Raymond Poulidor (FRA),"+ 20' 35""",Fagor–Mercier–Hutchinson
1970,8,Antoon Houbrechts (BEL),"+ 21' 34""",Salvarani
1970,9,Francisco Galdós (ESP),"+ 21' 45""",Kas–Kaskol
1970,10,Georges Pintens (BEL),"+ 23' 23""",Dr. Mann–Grundig
1970,11,Raymond Delisle (FRA),"+ 23' 59""",Peugeot–BP–Michelin
1970,12,Franco Balmamion (ITA),"+ 25' 10""",Salvarani
1970,13,Italo Zilioli (ITA),"+ 26' 17""",Faemino–Faema
1970,14,Joaquim Agostinho (POR),"+ 26' 52""",Frimatic–de Gribaldy
1970,15,Luis Zubero (ESP),"+ 28' 11""",Kas–Kaskol
1970,16,Willy Van Neste (BEL),"+ 29' 17""",Dr. Mann–Grundig
1970,17,Lucien Aimar (FRA),"+ 29' 22""",Sonolor–Lejeune
1970,18,Wladimiro Panizza (ITA),"+ 31' 02""",Salvarani
1970,19,Johny Schleck (LUX),"+ 32' 19""",Bic
1970,20,Andrés Gandarias (ESP),"+ 35' 22""",Kas–Kaskol
1970,21,Jean Dumont (FRA),"+ 47' 28""",Peugeot–BP–Michelin
1970,22,Bernard Vifian (SUI),"+ 50' 05""",Frimatic–de Gribaldy
1970,23,Francisco Gabica (ESP),"+ 50' 18""",Kas–Kaskol
1970,24,Roger Swerts (BEL),"+ 52' 56""",Faemino–Faema
1970,25,Aurelio González (ESP),"+ 55' 57""",Kas–Kaskol
1970,26,Jan Janssen (NED),"+ 56' 29""",Bic
1970,27,Henri Rabaute (FRA),"+ 58' 47""",Fagor–Mercier–Hutchinson
1970,28,Primo Mori (ITA),"+ 59' 39""",Salvarani
1970,29,Walter Godefroot (BEL),"+ 1h 02' 36""",Salvarani
1970,30,Jozef Huysmans (BEL),"+ 1h 05' 24""",Faemino–Faema
1970,31,Luis Ocaña (ESP),"+ 1h 06' 59""",Bic
1970,32,Evert Dolman (NED),"+ 1h 10' 19""",Willem II–Gazelle
1970,33,Bernard Labourdette (FRA),"+ 1h 11' 22""",Fagor–Mercier–Hutchinson
1970,34,Vicente López Carril (ESP),"+ 1h 12' 21""",Kas–Kaskol
1970,35,Bernard Thévenet (FRA),"+ 1h 13' 25""",Peugeot–BP–Michelin
1970,36,Tomas Pettersson (SWE),"+ 1h 13' 28""",Ferretti
1970,37,Rolf Wolfshohl (FRG),"+ 1h 15' 38""",Fagor–Mercier–Hutchinson
1970,38,Edy Schütz (LUX),"+ 1h 16' 05""",Molteni
1970,39,Guerrino Tosello (ITA),"+ 1h 16' 43""",Molteni
1970,40,Alain Vasseur (FRA),"+ 1h 17' 24""",Bic
1970,41,Robert Bouloux (FRA),"+ 1h 18' 21""",Peugeot–BP–Michelin
1970,42,Pierre Gautier (FRA),"+ 1h 18' 34""",Frimatic–de Gribaldy
1970,43,Ronald De Witte (BEL),"+ 1h 19' 56""",Dr. Mann–Grundig
1970,44,Jos van der Vleuten (NED),"+ 1h 22' 46""",Willem II–Gazelle
1970,45,Harry Steevens (NED),"+ 1h 23' 21""",Caballero–Laurens
1970,46,Jozef Spruyt (BEL),"+ 1h 26' 30""",Faemino–Faema
1970,47,Gerard Vianen (NED),"+ 1h 27' 04""",Caballero–Laurens
1970,48,Albert Van Vlierberghe (BEL),"+ 1h 31' 05""",Ferretti
1970,49,Giacinto Santambrogio (ITA),"+ 1h 33' 53""",Molteni
1970,50,Joseph Bruyère (BEL),"+ 1h 34' 12""",Faemino–Faema
1970,51,Walter Ricci (FRA),"+ 1h 35' 59""",Sonolor–Lejeune
1970,52,Christian Raymond (FRA),"+ 1h 36' 27""",Peugeot–BP–Michelin
1970,53,Franco Mori (ITA),"+ 1h 37' 12""",Molteni
1970,54,André Poppe (BEL),"+ 1h 38' 27""",Dr. Mann–Grundig
1970,55,Mario Anni (ITA),"+ 1h 38' 49""",Molteni
1970,56,José Antonio Gonzalez Linares (ESP),"+ 1h 39' 01""",Kas–Kaskol
1970,57,Jos Deschoenmaecker (BEL),"+ 1h 40' 17""",Dr. Mann–Grundig
1970,58,Jean-Pierre Parenteau (FRA),"+ 1h 41' 07""",Peugeot–BP–Michelin
1970,59,Mogens Frey (DEN),"+ 1h 41' 10""",Frimatic–de Gribaldy
1970,60,Attilio Benfatto (ITA),"+ 1h 45' 31""",Scic
1970,61,Maurice Izier (FRA),"+ 1h 47' 26""",Frimatic–de Gribaldy
1970,62,Cyrille Guimard (FRA),"+ 1h 50' 11""",Fagor–Mercier–Hutchinson
1970,63,Marino Basso (ITA),"+ 1h 52' 35""",Molteni
1970,64,Jean-Pierre Danguillaume (FRA),"+ 1h 53' 01""",Peugeot–BP–Michelin
1970,65,Eddy Reyniers (BEL),"+ 1h 55' 12""",Dr. Mann–Grundig
1970,66,Gabriel Mascaró Febrer (ESP),"+ 1h 55' 18""",Kas–Kaskol
1970,67,Daniel Van Rijckeghem (BEL),"+ 1h 56' 44""",Dr. Mann–Grundig
1970,68,Victor Van Schil (BEL),"+ 2h 00' 04""",Faemino–Faema
1970,69,Gérard David (BEL),"+ 2h 02' 55""",Flandria–Mars
1970,70,José Catieau (FRA),"+ 2h 09' 34""",Sonolor–Lejeune
1970,71,Pietro Guerra (ITA),"+ 2h 10' 07""",Salvarani
1970,72,Raymond Riotte (FRA),"+ 2h 10' 54""",Sonolor–Lejeune
1970,73,Giancarlo Polidori (ITA),"+ 2h 11' 57""",Scic
1970,74,Nemesio Jimenez (ESP),"+ 2h 12' 26""",Kas–Kaskol
1970,75,Frans Mintjens (BEL),"+ 2h 13' 15""",Faemino–Faema
1970,76,Pierre Martelozzo (FRA),"+ 2h 19' 59""",Peugeot–BP–Michelin
1970,77,Roland Berland (FRA),"+ 2h 20' 28""",Bic
1970,78,Harm Ottenbros (NED),"+ 2h 20' 52""",Willem II–Gazelle
1970,79,Michel Perin (FRA),"+ 2h 21' 33""",Fagor–Mercier–Hutchinson
1970,80,Jan van Katwijk (NED),"+ 2h 22' 06""",Willem II–Gazelle
1970,81,Eddy Beugels (NED),"+ 2h 22' 50""",Flandria–Mars
1970,82,Jean-Pierre Genet (FRA),"+ 2h 26' 22""",Fagor–Mercier–Hutchinson
1970,83,Jean-Marie Leblanc (FRA),"+ 2h 28' 03""",Bic
1970,84,Georges Chappe (FRA),"+ 2h 30' 30""",Fagor–Mercier–Hutchinson
1970,85,Michel Coulon (BEL),"+ 2h 31' 35""",Flandria–Mars
1970,86,Cees Zoontjens (NED),"+ 2h 32' 26""",Caballero–Laurens
1970,87,Etienne Antheunis (BEL),"+ 2h 33' 05""",Faemino–Faema
1970,88,Pieter Nassen (BEL),"+ 2h 33' 17""",Flandria–Mars
1970,89,Willy In' t Ven (BEL),"+ 2h 34'27""",Dr. Mann–Grundig
1970,90,Domingo Perurena (ESP),"+ 2h 41' 57""",Fagor–Mercier–Hutchinson
1970,91,Marc Lievens (BEL),"+ 2h 44' 52""",Flandria–Mars
1970,92,Cees Rentmeester (NED),"+ 2h 47' 07""",Caballero–Laurens
1970,93,Romano Tumellero (ITA),"+ 2h 50' 40""",Ferretti
1970,94,René De Bie (BEL),"+ 2h 58' 50""",Dr. Mann–Grundig
1970,95,Sylvain Vasseur (FRA),"+ 3h 02' 01""",Bic
1970,96,Luciano Dalla Bona (ITA),"+ 3h 19' 56""",Salvarani
1970,97,Pierre Ghisellini (FRA),"+ 3h 21' 49""",Frimatic–de Gribaldy
1970,98,Jaak De Boever (BEL),"+ 3h 22' 04""",Flandria–Mars
1970,99,Adriano Durante (ITA),"+ 3h 29' 47""",Scic
1970,100,Frits Hoogerheide (NED),"+ 3h 52' 12""",Willem II–Gazelle
1971,1,Eddy Merckx (BEL),"96h 45' 14""",Molteni
1971,2,Joop Zoetemelk (NED),"+ 9' 51""",Flandria–Mars
1971,3,Lucien Van Impe (BEL),"+ 11' 06""",Sonolor–Lejeune
1971,4,Bernard Thévenet (FRA),"+ 14' 50""",Peugeot–BP–Michelin
1971,5,Joaquim Agostinho (POR),"+ 21' 00""",Hoover–de Gribaldy–Wolber
1971,6,Leif Mortensen (DEN),"+ 21' 38""",Bic
1971,7,Cyrille Guimard (FRA),"+ 22' 58""",Fagor–Mercier–Hutchinson
1971,8,Bernard Labourdette (FRA),"+ 30' 07""",Bic
1971,9,Lucien Aimar (FRA),"+ 32' 45""",Sonolor–Lejeune
1971,10,Vicente López Carril (ESP),"+ 36' 00""",Kas–Kaskol
1971,11,Francisco Galdós (ESP),"+ 41' 59""",Kas–Kaskol
1971,12,Primo Mori (ITA),"+ 47' 44""",Salvarani
1971,13,Antonio Martos (ESP),"+ 48' 13""",Werner
1971,14,Herman Van Springel (BEL),"+ 48' 20""",Molteni
1971,15,Agustín Tamames (ESP),"+ 49' 19""",Werner
1971,16,Rini Wagtmans (NED),"+ 52' 50""",Molteni
1971,17,Désiré Letort (FRA),"+ 57' 53""",Bic
1971,18,Jean-Pierre Danguillaume (FRA),"+ 59' 10""",Peugeot–BP–Michelin
1971,19,Mauro Simonetti (ITA),"+ 1h 03' 06""",Ferretti
1971,20,Jean Dumont (FRA),"+ 1h 03' 49""",Peugeot–BP–Michelin
1971,21,Victor Van Schil (BEL),"+ 1h 08' 28""",Molteni
1971,22,Johny Schleck (LUX),"+ 1h 09' 35""",Bic
1971,23,Michel Périn (FRA),"+ 1h 10' 19""",Fagor–Mercier–Hutchinson
1971,24,Luis Santamarina (ESP),"+ 1h 10' 28""",Werner
1971,25,Ottavio Crepaldi (ITA),"+ 1h 12' 00""",Salvarani
1971,26,Jean-Pierre Genet (FRA),"+ 1h 14' 52""",Fagor–Mercier–Hutchinson
1971,27,Jos Huysmans (BEL),"+ 1h 15' 41""",Molteni
1971,28,Bernard Guyot (FRA),"+ 1h 16' 41""",Sonolor–Lejeune
1971,29,Albert Van Vlierberghe (BEL),"+ 1h 17' 47""",Ferretti
1971,30,Jos van der Vleuten (NED),"+ 1h 17' 48""",Goudsmit–Hoff
1971,31,Mariano Martinez (FRA),"+ 1h 19' 31""",Hoover–de Gribaldy–Wolber
1971,32,Christian Raymond (FRA),"+ 1h 23' 24""",Peugeot–BP–Michelin
1971,33,Ventura Díaz (ESP),"+ 1h 25' 30""",Werner
1971,34,Raymond Riotte (FRA),"+ 1h 26' 13""",Sonolor–Lejeune
1971,35,Roger Swerts (BEL),"+ 1h 27' 52""",Molteni
1971,36,Francis Ducreux (FRA),"+ 1h 28' 41""",Bic
1971,37,Roland Berland (FRA),"+ 1h 30' 57""",Bic
1971,38,Gabriel Mascaró Febrer (ESP),"+ 1h 33' 08""",Kas–Kaskol
1971,39,Jean-Claude Genty (FRA),"+ 1h 33' 57""",Bic
1971,40,Barry Hoban (GBR),"+ 1h 33' 59""",Sonolor–Lejeune
1971,41,Robert Bouloux (FRA),"+ 1h 35' 19""",Peugeot–BP–Michelin
1971,42,Georges Vandenberghe (BEL),"+ 1h 35' 42""",Salvarani
1971,43,José Catieau (FRA),"+ 1h 36' 12""",Sonolor–Lejeune
1971,44,Jozef Spruyt (BEL),"+ 1h 36' 36""",Molteni
1971,45,Luis Balagué (ESP),"+ 1h 37' 15""",Werner
1971,46,Jean-Claude Daunat (FRA),"+ 1h 38' 38""",Hoover–de Gribaldy–Wolber
1971,47,Kurt Rub (SUI),"+ 1h 40' 41""",Hoover–de Gribaldy–Wolber
1971,48,Charly Grosskost (FRA),"+ 1h 41' 26""",Bic
1971,49,José Luis Uribezubia (ESP),"+ 1h 42' 05""",Kas–Kaskol
1971,50,Jan Krekels (NED),"+ 1h 42' 47""",Goudsmit–Hoff
1971,51,Jean Vidament (FRA),"+ 1h 43' 37""",Hoover–de Gribaldy–Wolber
1971,52,José Manuel López Rodríguez (ESP),"+ 1h 43' 57""",Werner
1971,53,Jesús Manzaneque (ESP),"+ 1h 44' 14""",Kas–Kaskol
1971,54,Jean-Jacques Sanquer (FRA),"+ 1h 44' 35""",Sonolor–Lejeune
1971,55,Edy Schütz (LUX),"+ 1h 44' 51""",Flandria–Mars
1971,56,François Cocquery (FRA),"+ 1h 46' 05""",Fagor–Mercier–Hutchinson
1971,57,Frans Mintjens (BEL),"+ 1h 47' 19""",Molteni
1971,58,Ferdinand Bracke (BEL),"+ 1h 47' 40""",Peugeot–BP–Michelin
1971,59,Wim Prinsen (NED),"+ 1h 49' 26""",Goudsmit–Hoff
1971,60,Joseph Bruyère (BEL),"+ 1h 49' 35""",Molteni
1971,61,Nemesio Jiménez (ESP),"+ 1h 49' 46""",Kas–Kaskol
1971,62,Erik De Vlaeminck (BEL),"+ 1h 50' 09""",Flandria–Mars
1971,63,Gerben Karstens (NED),"+ 1h 51' 51""",Goudsmit–Hoff
1971,64,Wilmo Francioni (ITA),"+ 1h 52' 14""",Ferretti
1971,65,Alain Vasseur (FRA),"+ 1h 57' 12""",Bic
1971,66,Luciano Armani (ITA),"+ 1h 58' 14""",Scic
1971,67,Francisco Julia (ESP),"+ 1h 59' 58""",Werner
1971,68,Pietro Guerra (ITA),"+ 2h 02' 34""",Salvarani
1971,69,Yves Ravaleu (FRA),"+ 2h 04' 06""",Hoover–de Gribaldy–Wolber
1971,70,Willy Van Neste (BEL),"+ 2h 05' 10""",Flandria–Mars
1971,71,Rolf Wolfshohl (FRG),"+ 2h 05' 36""",Fagor–Mercier–Hutchinson
1971,72,José Manuel Fuente (ESP),"+ 2h 05' 47""",Kas–Kaskol
1971,73,Francisco Javier Galdeano (ESP),"+ 2h 06' 21""",Kas–Kaskol
1971,74,Willy Teirlinck (BEL),"+ 2h 08' 07""",Sonolor–Lejeune
1971,75,Edouard Janssens (BEL),"+ 2h 08' 38""",Flandria–Mars
1971,76,Mathijs De Koning (NED),"+ 2h 08' 48""",Goudsmit–Hoff
1971,77,Raymond Delisle (FRA),"+ 2h 09' 24""",Peugeot–BP–Michelin
1971,78,Adriano Pella (ITA),"+ 2h 13' 18""",Scic
1971,79,Pierre Ghisellini (ITA),"+ 2h 13' 52""",Hoover–de Gribaldy–Wolber
1971,80,Henk Benjamins (NED),"+ 2h 14' 46""",Goudsmit–Hoff
1971,81,René Grelin (FRA),"+ 2h 18' 14""",Fagor–Mercier–Hutchinson
1971,82,Gert Harings (NED),"+ 2h 25' 12""",Goudsmit–Hoff
1971,83,Celestino Vercelli (ITA),"+ 2h 29' 26""",Scic
1971,84,Robert Mintkiewicz (FRA),"+ 2h 35' 40""",Sonolor–Lejeune
1971,85,Sandro Quintarelli (ITA),"+ 2h 36' 19""",Ferretti
1971,86,Silvano Davo (ITA),"+ 2h 37' 51""",Salvarani
1971,87,Jan van Katwijk (NED),"+ 2h 41' 37""",Goudsmit–Hoff
1971,88,Eddy Peelman (BEL),"+ 2h 41' 50""",Fagor–Mercier–Hutchinson
1971,89,Pierre Martelozzo (ITA),"+ 2h 45' 45""",Peugeot–BP–Michelin
1971,90,Julien Stevens (BEL),"+ 2h 47' 21""",Molteni
1971,91,Eric Leman (BEL),"+ 2h 51' 38""",Flandria–Mars
1971,92,Roberto Ballini (ITA),"+ 2h 52' 26""",Ferretti
1971,93,Pieter Nassen (BEL),"+ 2h 57' 48""",Flandria–Mars
1971,94,Georges Chappe (FRA),"+ 3h 04' 54""",Fagor–Mercier–Hutchinson
1972,1,Eddy Merckx (BEL),"108h 17' 18""",Molteni
1972,2,Felice Gimondi (ITA),"+ 10' 41""",Salvarani
1972,3,Raymond Poulidor (FRA),"+ 11' 34""",Gan–Mercier–Hutchinson
1972,4,Lucien Van Impe (BEL),"+ 16' 45""",Sonolor–Lejeune
1972,5,Joop Zoetemelk (NED),"+ 19' 09""",Beaulieu–Flandria
1972,6,Mariano Martinez (FRA),"+ 21' 31""",Van Cauter–Magniflex–de Gribaldy
1972,7,Yves Hézard (FRA),"+ 21' 52""",Sonolor–Lejeune
1972,8,Joaquim Agostinho (POR),"+ 34' 16""",Van Cauter–Magniflex–de Gribaldy
1972,9,Bernard Thévenet (FRA),"+ 37' 11""",Peugeot–BP–Michelin
1972,10,Ward Janssens (BEL),"+ 42' 33""",Van Cauter–Magniflex–de Gribaldy
1972,11,Raymond Delisle (FRA),"+ 46' 27""",Peugeot–BP–Michelin
1972,12,Leif Mortensen (DEN),"+ 46' 39""",Bic
1972,13,Antoon Houbrechts (BEL),"+ 47' 37""",Salvarani
1972,14,Roger Swerts (BEL),"+ 49' 24""",Molteni
1972,15,Martin Vandenbossche (BEL),"+ 59' 29""",Molteni
1972,16,Frans Verbeeck (BEL),"+ 1h 00' 09""",Watney–Avia
1972,17,Lucien Aimar (FRA),"+ 1h 03' 41""",Rokado–Colders
1972,18,Tino Tabak (NED),"+ 1h 05' 09""",Goudsmit–Hoff
1972,19,Michel Périn (FRA),"+ 1h 06' 19""",Gan–Mercier–Hutchinson
1972,20,Karl-Heinz Kunde (FRG),"+ 1h 10' 09""",Rokado–Colders
1972,21,Jean-Pierre Danguillaume (FRA),"+ 1h 14' 51""",Peugeot–BP–Michelin
1972,22,Jos Deschoenmaecker (BEL),"+ 1h 21' 28""",Molteni
1972,23,Herman Beysens (BEL),"+ 1h 23' 51""",Van Cauter–Magniflex–de Gribaldy
1972,24,Rolf Wolfshohl (FRG),"+ 1h 24' 59""",Rokado–Colders
1972,25,Mathieu Pustjens (NED),"+ 1h 26' 33""",Sonolor–Lejeune
1972,26,Joseph Bruyère (BEL),"+ 1h 27' 20""",Molteni
1972,27,Walter Ricci (FRA),"+ 1h 30' 12""",Sonolor–Lejeune
1972,28,Joseph Huysmans (BEL),"+ 1h 31' 29""",Molteni
1972,29,Guy Santy (FRA),"+ 1h 31' 35""",Bic
1972,30,Johny Schleck (LUX),"+ 1h 32' 06""",Bic
1972,31,Ronald De Witte (BEL),"+ 1h 34' 22""",Peugeot–BP–Michelin
1972,32,Joël Millard (FRA),"+ 1h 37' 28""",Van Cauter–Magniflex–de Gribaldy
1972,33,Willy Vanneste (BEL),"+ 1h 39' 11""",Beaulieu–Flandria
1972,34,Gilbert Bellone (FRA),"+ 1h 39' 39""",Rokado–Colders
1972,35,Sylvain Vasseur (FRA),"+ 1h 41' 13""",Bic
1972,36,Gérard Moneyron (FRA),"+ 1h 41' 46""",Gan–Mercier–Hutchinson
1972,37,Frans Mintjens (BEL),"+ 1h 42' 55""",Molteni
1972,38,Jean-Pierre Parenteau (FRA),"+ 1h 44' 20""",Peugeot–BP–Michelin
1972,39,Primo Mori (ITA),"+ 1h 44' 54""",Salvarani
1972,40,Roland Berland (FRA),"+ 1h 45' 51""",Bic
1972,41,Wilfried David (BEL),"+ 1h 48' 53""",Peugeot–BP–Michelin
1972,42,Dieter Puschel (FRG),"+ 1h 50' 12""",Rokado–Colders
1972,43,Marc Lievens (BEL),"+ 1h 50' 44""",Molteni
1972,44,Walter Godefroot (BEL),"+ 1h 53' 56""",Peugeot–BP–Michelin
1972,45,Jurgen Tschan (FRG),"+ 1h 56' 00""",Peugeot–BP–Michelin
1972,46,Jean-Claude Largeau (FRA),"+ 1h 59' 41""",Van Cauter–Magniflex–de Gribaldy
1972,47,Christian Raymond (FRA),"+ 2h 01' 00""",Peugeot–BP–Michelin
1972,48,Raymond Riotte (FRA),"+ 2h 01' 25""",Sonolor–Lejeune
1972,49,Ludo Van Staeyen (BEL),"+ 2h 02' 41""",Van Cauter–Magniflex–de Gribaldy
1972,50,Georges Chappe (FRA),"+ 2h 02' 44""",Gitane
1972,51,Willy In' t Ven (BEL),"+ 2h 03' 11""",Molteni
1972,52,Karl-Heinz Muddemann (FRG),"+ 2h 04' 04""",Rokado–Colders
1972,53,Giacinto Santambrogio (ITA),"+ 2h 04' 07""",Salvarani
1972,54,Marinus Wagtmans (NED),"+ 2h 04' 45""",Goudsmit–Hoff
1972,55,Michael Wright (GBR),"+ 2h 08' 31""",Gitane
1972,56,Jesus Aranzabal (ESP),"+ 2h 10' 44""",Bic
1972,57,René Grenier (FRA),"+ 2h 11' 29""",Gitane
1972,58,Jacky Mourioux (FRA),"+ 2h 11' 37""",Gan–Mercier–Hutchinson
1972,59,Gérard David (BEL),"+ 2h 11' 53""",Beaulieu–Flandria
1972,60,Gerben Karstens (NED),"+ 2h 12' 40""",Rokado–Colders
1972,61,Wim Prinsen (NED),"+ 2h 14' 56""",Goudsmit–Hoff
1972,62,Ronny Van Marcke (BEL),"+ 2h 16' 34""",Beaulieu–Flandria
1972,63,Wilfried Peffgen (FRG),"+ 2h 16' 49""",Rokado–Colders
1972,64,Jean-Claude Genty (FRA),"+ 2h 16' 53""",Bic
1972,65,Willy Abbeloos (BEL),"+ 2h 18' 22""",Van Cauter–Magniflex–de Gribaldy
1972,66,Willy Teirlinck (BEL),"+ 2h 21' 59""",Sonolor–Lejeune
1972,67,Eddy Verstraeten (BEL),"+ 2h 22' 57""",Watney–Avia
1972,68,Marc Sohet (BEL),"+ 2h 26' 20""",Watney–Avia
1972,69,Paul Aerts (BEL),"+ 2h 27' 39""",Watney–Avia
1972,70,Barry Hoban (GBR),"+ 2h 28' 20""",Gan–Mercier–Hutchinson
1972,71,Gerard Vianen (NED),"+ 2h 28' 27""",Goudsmit–Hoff
1972,72,Jean-Claude Daunat (FRA),"+ 2h 30' 06""",Gitane
1972,73,Jos van der Vleuten (NED),"+ 2h 30' 41""",Goudsmit–Hoff
1972,74,Pietro Campagnari (ITA),"+ 2h 31' 42""",Salvarani
1972,75,Pierre Matignon (FRA),"+ 2h 33' 10""",Gitane
1972,76,Régis Delépine (FRA),"+ 2h 36' 32""",Gan–Mercier–Hutchinson
1972,77,Noël Vanclooster (BEL),"+ 2h 38' 24""",Watney–Avia
1972,78,Jan Krekels (NED),"+ 2h 38' 59""",Goudsmit–Hoff
1972,79,Pieter Nassen (BEL),"+ 2h 40' 52""",Watney–Avia
1972,80,Rik Van Linden (BEL),"+ 2h 41' 24""",Van Cauter–Magniflex–de Gribaldy
1972,81,Bernard Guyot (FRA),"+ 2h 41' 29""",Sonolor–Lejeune
1972,82,Marino Basso (ITA),"+ 2h 46' 50""",Salvarani
1972,83,Evert Dolman (NED),"+ 2h 48' 36""",Beaulieu–Flandria
1972,84,Léon-Paul Ménard (FRA),"+ 2h 48' 41""",Gitane
1972,85,Luigi Castelletti (ITA),"+ 2h 50' 12""",Salvarani
1972,86,Pietro Guerra (ITA),"+ 2h 54' 37""",Salvarani
1972,87,Robert Mintkiewicz (FRA),"+ 3h 07' 39""",Sonolor–Lejeune
1972,88,Alain Bellouis (FRA),"+ 4h 03' 33""",Gitane
1973,1,Luis Ocaña (ESP),"122h 25' 34""",Bic
1973,2,Bernard Thévenet (FRA),"+ 15' 51""",Peugeot–BP–Michelin
1973,3,José Manuel Fuente (ESP),"+ 17' 15""",Kas–Kaskol
1973,4,Joop Zoetemelk (NED),"+ 26' 22""",Gitane–Frigécrème
1973,5,Lucien Van Impe (BEL),"+ 30' 20""",Sonolor
1973,6,Herman Van Springel (BEL),"+ 32' 01""",Rokado–De Gribaldy
1973,7,Michel Périn (FRA),"+ 33' 02""",Gan–Mercier–Hutchinson
1973,8,Joaquim Agostinho (POR),"+ 35' 51""",Bic
1973,9,Vicente López Carril (ESP),"+ 36' 18""",Kas–Kaskol
1973,10,Régis Ovion (FRA),"+ 36' 59""",Peugeot–BP–Michelin
1973,11,Raymond Delisle (FRA),"+ 37' 43""",Peugeot–BP–Michelin
1973,12,Mariano Martínez (FRA),"+ 40' 49""",Gan–Mercier–Hutchinson
1973,13,Pedro Torres (ESP),"+ 47' 30""",La Casera–Peña Bahamontes
1973,14,José Catieau (FRA),"+ 49' 12""",Bic
1973,15,Antonio Martos (ESP),"+ 49' 20""",Kas–Kaskol
1973,16,Antoon Houbrechts (BEL),"+ 49' 38""",Rokado–De Gribaldy
1973,17,Lucien Aimar (FRA),"+ 49' 54""",De Kova–Lejeune
1973,18,Fernando Mendes (POR),"+ 51' 22""",Flandria–Carpenter–Shimano
1973,19,Leif Mortensen (DEN),"+ 52' 18""",Bic
1973,20,Francisco Galdós (ESP),"+ 53' 05""",Kas–Kaskol
1973,21,Bernard Labourdette (FRA),"+ 1h 04' 49""",Bic
1973,22,Jean-Pierre Danguillaume (FRA),"+ 1h 08' 41""",Peugeot–BP–Michelin
1973,23,Luis Zubero (ESP),"+ 1h 18' 49""",Kas–Kaskol
1973,24,Ronald Dewitte (BEL),"+ 1h 19' 18""",Flandria–Carpenter–Shimano
1973,25,Luis Balagué (ESP),"+ 1h 20' 11""",La Casera–Peña Bahamontes
1973,26,René Grelin (FRA),"+ 1h 20' 33""",Gan–Mercier–Hutchinson
1973,27,Jean-Claude Genty (FRA),"+ 1h 21' 06""",Bic
1973,28,Roland Berland (FRA),"+ 1h 22' 07""",Bic
1973,29,Santiago Lazcano (ESP),"+ 1h 25' 27""",Kas–Kaskol
1973,30,Pierre Martelozzo (FRA),"+ 1h 27' 51""",Peugeot–BP–Michelin
1973,31,Alain Santy (FRA),"+ 1h 29' 19""",Bic
1973,32,Johny Schleck (LUX),"+ 1h 34' 06""",Bic
1973,33,José Martins (POR),"+ 1h 34' 36""",Canada Dry–Gazelle
1973,34,Michel Pollentier (BEL),"+ 1h 36' 03""",Flandria–Carpenter–Shimano
1973,35,Raymond Martin (FRA),"+ 1h 36' 10""",Gitane–Frigécrème
1973,36,Charly Rouxel (FRA),"+ 1h 47' 42""",Peugeot–BP–Michelin
1973,37,Jurgen Tschan (FRG),"+ 1h 49' 20""",Peugeot–BP–Michelin
1973,38,Damaso Torres (ESP),"+ 1h 49' 23""",La Casera–Peña Bahamontes
1973,39,Jesus Manzaneque (ESP),"+ 1h 51' 40""",La Casera–Peña Bahamontes
1973,40,Antonio Menéndez (ESP),"+ 1h 55' 58""",Kas–Kaskol
1973,41,Carlos Melero (ESP),"+ 1h 58' 07""",Kas–Kaskol
1973,42,Ferdinand Julien (FRA),"+ 2h 01' 12""",Gitane–Frigécrème
1973,43,Barry Hoban (GBR),"+ 2h 03' 00""",Gan–Mercier–Hutchinson
1973,44,Marcel Boishardy (FRA),"+ 2h 03' 38""",De Kova–Lejeune
1973,45,Herculano Oliveira (POR),"+ 2h 05' 13""",Canada Dry–Gazelle
1973,46,Jean-Pierre Genet (FRA),"+ 2h 07' 14""",Gan–Mercier–Hutchinson
1973,47,José Antonio González (ESP),"+ 2h 08' 07""",Kas–Kaskol
1973,48,Claude Tollet (FRA),"+ 2h 09' 04""",Sonolor
1973,49,Jean-Claude Largeau (FRA),"+ 2h 09' 22""",Gitane–Frigécrème
1973,50,José Grande (ESP),"+ 2h 09' 40""",Kas–Kaskol
1973,51,Michel Roques (FRA),"+ 2h 10' 41""",Sonolor
1973,52,Albert Van Vlierberghe (BEL),"+ 2h 13' 02""",Rokado–De Gribaldy
1973,53,Sylvain Vasseur (FRA),"+ 2h 13' 56""",Bic
1973,54,Jesus Esperanza (ESP),"+ 2h 14' 49""",La Casera–Peña Bahamontes
1973,55,Daniel Ducreux (FRA),"+ 2h 15' 21""",Flandria–Carpenter–Shimano
1973,56,Robert Bouloux (FRA),"+ 2h 15' 55""",Peugeot–BP–Michelin
